"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.04.2025","63,83","66,31","66,48","61,36","44,26M","-3,99%"
"06.04.2025","66,48","66,31","66,66","65,26","11,03M","1,40%"
"05.04.2025","65,56","66,31","66,31","64,12","7,22M","-1,35%"
"04.04.2025","66,46","70,90","71,50","65,10","90,01M","-5,54%"
"03.04.2025","70,36","67,43","70,59","64,11","38,78M","4,35%"
"02.04.2025","67,43","66,06","67,90","65,24","34,08M","2,14%"
"01.04.2025","66,02","69,90","70,70","64,50","47,40M","-5,18%"
"31.03.2025","69,63","66,50","69,82","65,28","37,28M","3,60%"
"28.03.2025","67,21","70,93","70,95","66,99","36,35M","-5,34%"
"27.03.2025","71,00","73,30","73,32","70,89","20,21M","-3,07%"
"26.03.2025","73,25","74,72","74,88","73,17","9,37M","-1,81%"
"25.03.2025","74,60","74,42","75,18","72,92","16,77M","0,32%"
"24.03.2025","74,36","75,22","75,48","73,60","15,17M","-1,48%"
"21.03.2025","75,48","75,57","76,10","74,61","13,63M","-0,42%"
"20.03.2025","75,80","76,38","76,38","75,00","13,39M","-0,33%"
"19.03.2025","76,05","75,46","76,44","74,75","18,27M","0,81%"
"18.03.2025","75,44","76,50","77,50","75,15","44,75M","-1,19%"
"17.03.2025","76,35","74,56","77,15","74,53","35,60M","2,40%"
"14.03.2025","74,56","73,50","75,00","72,65","28,08M","0,93%"
"13.03.2025","73,87","73,20","74,97","71,50","45,50M","0,92%"
"12.03.2025","73,20","74,22","74,46","72,79","20,77M","-1,43%"
"11.03.2025","74,26","74,70","75,30","73,27","26,42M","-0,60%"
"10.03.2025","74,71","75,35","75,72","74,41","20,50M","-0,52%"
"07.03.2025","75,10","73,81","76,81","72,56","101,65M","1,73%"
